_id,zooniverse_id,subimage
509935796aa0e064b6000175,AAP00000ad,B01-F07_26
509935796aa0e064b6000176,AAP00000ae,B01-F07_26_F475W
509935796aa0e064b6000177,AAP00000af,B01-F07_27
509935796aa0e064b6000178,AAP00000ag,B01-F07_27_F475W
509935796aa0e064b6000179,AAP00000ah,B01-F07_28
509935796aa0e064b600017a,AAP00000ai,B01-F07_28_F475W
509935796aa0e064b600017b,AAP00000aj,B01-F07_2_F475W
509935796aa0e064b600017c,AAP00000ak,B01-F07_3
509935796aa0e064b600017d,AAP00000al,B01-F07_3_F475W
509935796aa0e064b600017e,AAP00000am,B01-F07_4
509935796aa0e064b600017f,AAP00000an,B01-F07_4_F475W
509935796aa0e064b6000180,AAP00000ao,B01-F07_5
509935796aa0e064b6000181,AAP00000ap,B01-F07_5_F475W
509935796aa0e064b6000182,AAP00000aq,B01-F07_6
509935796aa0e064b6000183,AAP00000ar,B01-F07_6_F475W
509935796aa0e064b6000184,AAP00000as,B01-F07_7
509935796aa0e064b6000185,AAP00000at,B01-F07_7_F475W
509935796aa0e064b6000186,AAP00000au,B01-F07_8
509935796aa0e064b6000187,AAP00000av,B01-F07_8_F475W
509935796aa0e064b6000188,AAP00000aw,B01-F07_9
509935796aa0e064b6000189,AAP00000ax,B01-F07_9_F475W
509935796aa0e064b600018a,AAP00000ay,B01-F08_1
509935796aa0e064b600018b,AAP00000az,B01-F08_10
509935796aa0e064b600018c,AAP00000b0,B01-F08_10_F475W
509935796aa0e064b600018d,AAP00000b1,B01-F08_11
509935796aa0e064b600018e,AAP00000b2,B01-F08_11_F475W
509935796aa0e064b600018f,AAP00000b3,B01-F08_12
509935796aa0e064b6000190,AAP00000b4,B01-F08_12_F475W
509935796aa0e064b6000191,AAP00000b5,B01-F08_13
509935796aa0e064b6000192,AAP00000b6,B01-F08_13_F475W
509935796aa0e064b6000193,AAP00000b7,B01-F08_14
509935796aa0e064b6000194,AAP00000b8,B01-F08_14_F475W
509935796aa0e064b6000195,AAP00000b9,B01-F08_15
509935796aa0e064b6000196,AAP00000ba,B01-F08_15_F475W
509935796aa0e064b6000197,AAP00000bb,B01-F08_16
509935796aa0e064b6000198,AAP00000bc,B01-F08_16_F475W
509935796aa0e064b6000199,AAP00000bd,B01-F08_17
509935796aa0e064b600019a,AAP00000be,B01-F08_17_F475W
509935796aa0e064b600019b,AAP00000bf,B01-F08_18
509935796aa0e064b600019c,AAP00000bg,B01-F08_18_F475W
509935796aa0e064b600019d,AAP00000bh,B01-F08_19
509935796aa0e064b600019e,AAP00000bi,B01-F08_19_F475W
509935796aa0e064b600019f,AAP00000bj,B01-F08_1_F475W
509935796aa0e064b60001a0,AAP00000bk,B01-F08_2
509935796aa0e064b60001a1,AAP00000bl,B01-F08_20
509935796aa0e064b60001a2,AAP00000bm,B01-F08_20_F475W
509935796aa0e064b60001a3,AAP00000bn,B01-F08_21
509935796aa0e064b60001a4,AAP00000bo,B01-F08_21_F475W
509935796aa0e064b60001a5,AAP00000bp,B01-F08_22
509935796aa0e064b60001a6,AAP00000bq,B01-F08_22_F475W
509935796aa0e064b60001a7,AAP00000br,B01-F08_23
509935796aa0e064b60001a8,AAP00000bs,B01-F08_23_F475W
509935796aa0e064b60001a9,AAP00000bt,B01-F08_24
509935796aa0e064b60001aa,AAP00000bu,B01-F08_24_F475W
509935796aa0e064b60001ab,AAP00000bv,B01-F08_25
509935796aa0e064b60001ac,AAP00000bw,B01-F08_25_F475W
509935796aa0e064b60001ad,AAP00000bx,B01-F08_26
509935796aa0e064b60001ae,AAP00000by,B01-F08_26_F475W
509935796aa0e064b60001af,AAP00000bz,B01-F08_27
509935796aa0e064b60001b0,AAP00000c0,B01-F08_27_F475W
509935796aa0e064b60001b1,AAP00000c1,B01-F08_28
509935796aa0e064b60001b2,AAP00000c2,B01-F08_28_F475W
509935796aa0e064b60001b3,AAP00000c3,B01-F08_2_F475W
509935796aa0e064b60001b4,AAP00000c4,B01-F08_3
509935796aa0e064b60001b5,AAP00000c5,B01-F08_3_F475W
509935796aa0e064b60001b6,AAP00000c6,B01-F08_4
509935796aa0e064b60001b7,AAP00000c7,B01-F08_4_F475W
509935796aa0e064b60001b8,AAP00000c8,B01-F08_5
509935796aa0e064b60001b9,AAP00000c9,B01-F08_5_F475W
509935796aa0e064b60001ba,AAP00000ca,B01-F08_6
509935796aa0e064b60001bb,AAP00000cb,B01-F08_6_F475W
509935796aa0e064b60001bc,AAP00000cc,B01-F08_7
509935796aa0e064b60001bd,AAP00000cd,B01-F08_7_F475W
509935796aa0e064b60001be,AAP00000ce,B01-F08_8
509935796aa0e064b60001bf,AAP00000cf,B01-F08_8_F475W
509935796aa0e064b60001c0,AAP00000cg,B01-F08_9
509935796aa0e064b60001c1,AAP00000ch,B01-F08_9_F475W
509935796aa0e064b60001c2,AAP00000ci,B01-F09_1
509935796aa0e064b60001c3,AAP00000cj,B01-F09_10
509935796aa0e064b60001c4,AAP00000ck,B01-F09_10_F475W
509935796aa0e064b60001c5,AAP00000cl,B01-F09_11
509935796aa0e064b60001c6,AAP00000cm,B01-F09_11_F475W
509935796aa0e064b60001c7,AAP00000cn,B01-F09_12
509935796aa0e064b60001c8,AAP00000co,B01-F09_12_F475W
509935796aa0e064b60001c9,AAP00000cp,B01-F09_13
