zooniverse_id,name,location,thumbnail_location,ra,dec
AAP0000026,B15-F09_28,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_28.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_28.jpg,11.240610351862006,41.900811836687815
AAP0000027,B15-F09_28_F475W,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_28_F475W.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_28_F475W.jpg,11.240610351862006,41.900811836687815
AAP0000028,B15-F09_28_F475W_sc,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_28_F475W_sc.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_28_F475W_sc.jpg,11.240610351862006,41.900811836687815
AAP0000029,B15-F09_28_sc,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_28_sc.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_28_sc.jpg,11.240610351862006,41.900811836687815
AAP000002a,B15-F09_2_F475W,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_2_F475W.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_2_F475W.jpg,11.256641398373057,41.86517385626124
AAP000002b,B15-F09_2_F475W_sc,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_2_F475W_sc.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_2_F475W_sc.jpg,11.256641398373057,41.86517385626124
AAP000002c,B15-F09_2_sc,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_2_sc.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_2_sc.jpg,11.256641398373057,41.86517385626124
AAP000002d,B15-F09_3,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_3.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_3.jpg,11.245128545603267,41.866531441796035
AAP000002e,B15-F09_3_F475W,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_3_F475W.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_3_F475W.jpg,11.245128545603267,41.866531441796035
AAP000002f,B15-F09_3_F475W_sc,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_3_F475W_sc.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_3_F475W_sc.jpg,11.245128545603267,41.866531441796035
AAP000002g,B15-F09_3_sc,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_3_sc.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_3_sc.jpg,11.245128545603267,41.866531441796035
AAP000002h,B15-F09_4,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_4.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_4.jpg,11.233615204350267,41.86788787748288
